Team,Total Points,I,II,III,IV,V,VI,VII,VIII,IX,X,Trades
Dart GC,648,100,139,81,41,36,59,49,0,33,80,30
Double Down GC,594,40,0,0,50,55,59,224,70,105,21,-30
Smoke GC,510,70,0,12,50,150,8,27,100,93,0,
Mamba GC,454,7,27,170,100,0,0,0,0,150,0,
Tiger GC,430,88,0,0,0,118,48,0,16,80,80,
Chaos GC,424,7,85,32,52,18,100,0,0,5,125,
Nighthawk GC,278,23,6,0,42,0,0,27,17,38,125,
Clutch GC,277,7,6,32,16,80,52,0,63,0,21,
Shark GC,196,0,54,17,0,18,8,27,8,5,59,
Quattro GC,162,7,0,12,0,40,0,0,23,38,42,
Hammer GC,114,7,12,0,2,18,18,0,57,0,0,
Elite GC,50,0,27,0,0,18,0,0,0,5,0,
