Team,Total Points,I,II,III,IV,V,VI,VII,VIII,IX,X,Trades
Dart GC,40,0,0,0,5,0,0,35,0,-,-,0
Double Down GC,437,32,170,126,0,0,0,87,102,-,-,-80
Smoke GC,212,40,32,9,0,76,0,7,48,-,-,0
Mamba GC,300,0,0,85,150,10,0,55,0,-,-,0
Tiger GC,210,170,0,0,5,0,0,35,0,-,-,0
Chaos GC,55,0,0,0,55,0,0,0,0,-,-,0
Nighthawk GC,386,17,38,17,48,59,85,48,24,-,-,50
Clutch GC,338,8,0,17,71,17,100,0,125,-,-,0
Shark GC,221,0,0,6,0,17,20,0,178,-,-,0
Quattro GC,346,8,17,6,138,29,0,100,48,-,-,0
Hammer GC,159,32,70,3,0,17,0,7,0,-,-,30
Elite GC,595,49,29,91,80,129,11,178,28,-,-,0
